學年,新增辦理休學人數-因病,新增辦理休學人數-因經濟困難,新增辦理休學人數-因學業志趣,新增辦理休學人數-因工作需求,新增辦理休學人數-因懷孕,新增辦理休學人數-因育嬰,新增辦理休學人數-其他原因,退學人數-因學業成績,退學人數-因操行成績,退學人數-因志趣不合,退學人數-逾期未註冊、休學逾期未復學,退學人數-其他原因
98,4132,6234,10880,15235,851,…,37493,12787,676,22973,29039,8660
99,3925,5301,11508,15278,873,…,37349,13852,745,21725,32674,8818
100,3862,5305,12397,16218,897,1147,37888,13790,932,22252,33479,8917
101,3940,5344,12250,17472,992,1581,39670,13705,822,22473,37973,9736
102,3641,4763,12518,17272,854,1504,37649,12433,612,22031,42250,10214
103,3637,4396,12776,17946,924,1616,36173,11458,644,22325,42283,10110
104,3741,4761,14247,18467,830,1615,35625,11601,673,22001,42331,11709
